Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	MP:0012605	IAO:0000115	reduction in the amount of a tripeptide compound consisting of glutamic acid attached via its side chain to the N-terminus of cysteinylglycine in the kidney	
ERROR	duplicate_definition	MP:0012607	IAO:0000115	reduction in the amount of a tripeptide compound consisting of glutamic acid attached via its side chain to the N-terminus of cysteinylglycine in the kidney	
ERROR	duplicate_definition	MP:0013916	IAO:0000115	reduced length of the digestive tube passing from the stomach to the anus, consisting of the small and large intestine divisions	
ERROR	duplicate_definition	MP:0013954	IAO:0000115	reduced length of the digestive tube passing from the stomach to the anus, consisting of the small and large intestine divisions	
ERROR	duplicate_definition	MP:0003185	IAO:0000115	reduced activity of the exopeptidase that catalyses the conversion of angiotensin I to angiotensin II, a potent vasoconstrictor, and is also involved in the inactivation of bradykinin	
ERROR	duplicate_definition	MP:0013254	IAO:0000115	reduced activity of the exopeptidase that catalyses the conversion of angiotensin I to angiotensin II, a potent vasoconstrictor, and is also involved in the inactivation of bradykinin	
ERROR	duplicate_definition	MP:0013920	IAO:0000115	lower threshold to exhibit an expected reflex action normally induced by an electrical stimulus	
ERROR	duplicate_definition	MP:0013921	IAO:0000115	lower threshold to exhibit an expected reflex action normally induced by an electrical stimulus	
ERROR	duplicate_definition	MP:0020286	IAO:0000115	increased level fo the enzyme that removes thioester-linked fatty acyl groups such as palmitate from modified cysteine residues in proteins or peptides during lysosomal degradation	
ERROR	duplicate_definition	MP:0020287	IAO:0000115	increased level fo the enzyme that removes thioester-linked fatty acyl groups such as palmitate from modified cysteine residues in proteins or peptides during lysosomal degradation	
ERROR	duplicate_definition	MP:0020645	IAO:0000115	increase in the average of the total cell area contained in the hippocampal fimbria	
ERROR	duplicate_definition	MP:0020651	IAO:0000115	increase in the average of the total cell area contained in the hippocampal fimbria	
ERROR	duplicate_definition	MP:0014041	IAO:0000115	greater incidence of cell death following exposure to cisplatin	
ERROR	duplicate_definition	MP:0014043	IAO:0000115	greater incidence of cell death following exposure to cisplatin	
ERROR	duplicate_definition	MP:0020617	IAO:0000115	decrease in the number of cells of the dorsal striatum	
ERROR	duplicate_definition	MP:0020618	IAO:0000115	decrease in the number of cells of the dorsal striatum	
ERROR	duplicate_definition	MP:0013643	IAO:0000115	decrease in the maximal load (N) sustained by a vertebra	
ERROR	duplicate_definition	MP:0013644	IAO:0000115	decrease in the maximal load (N) sustained by a vertebra	
ERROR	duplicate_definition	MP:0020644	IAO:0000115	decrease in the average of the total cell area contained in the hippocampal fimbria	
ERROR	duplicate_definition	MP:0020650	IAO:0000115	decrease in the average of the total cell area contained in the hippocampal fimbria	
ERROR	duplicate_definition	MP:0013792	IAO:0000115	any structural anomaly of the glandular simple columnar epithelial cell found in the mucosal lining of the small intestine, whose primary function is to secrete gel-forming mucins, the major components of mucus	
ERROR	duplicate_definition	MP:0013793	IAO:0000115	any structural anomaly of the glandular simple columnar epithelial cell found in the mucosal lining of the small intestine, whose primary function is to secrete gel-forming mucins, the major components of mucus	
ERROR	duplicate_definition	MP:0000631	IAO:0000115	any structural anomaly of any of the organized aggregations of cells that function as secretory or excretory organs and that release hormones in response to neural stimuli	
ERROR	duplicate_definition	MP:0013570	IAO:0000115	any structural anomaly of any of the organized aggregations of cells that function as secretory or excretory organs and that release hormones in response to neural stimuli	
ERROR	duplicate_definition	MP:0013554	IAO:0000115	any structural anomaly of any exocrine gland whose cells bud their secretions off through the plasma membrane producing membrane-bound vesicles in the lumen; the apical portion of the secretory cell of the gland pinches off and enters the lumen; it loses part of its cytoplasm in their secretions; apocrine secretion is functional during hormonal stress or puberty; an example of true apocrine glands are mammary glands, responsible for secreting breast milk	
ERROR	duplicate_definition	MP:0013555	IAO:0000115	any structural anomaly of any exocrine gland whose cells bud their secretions off through the plasma membrane producing membrane-bound vesicles in the lumen; the apical portion of the secretory cell of the gland pinches off and enters the lumen; it loses part of its cytoplasm in their secretions; apocrine secretion is functional during hormonal stress or puberty; an example of true apocrine glands are mammary glands, responsible for secreting breast milk	
ERROR	duplicate_definition	MP:0013206	IAO:0000115	any structural anomaly of a cilium which has a variable arrangement of axonemal microtubules, contains molecular motors, and beats with a characteristic whip-like pattern that promotes cell motility or transport of fluids and other cells across a cell surface; motile cilia are typically found in multiple copies on epithelial cells that line the lumenal ducts of various tissues and may also function as sensory organelles	
ERROR	duplicate_definition	MP:0013209	IAO:0000115	any structural anomaly of a cilium which has a variable arrangement of axonemal microtubules, contains molecular motors, and beats with a characteristic whip-like pattern that promotes cell motility or transport of fluids and other cells across a cell surface; motile cilia are typically found in multiple copies on epithelial cells that line the lumenal ducts of various tissues and may also function as sensory organelles	
ERROR	duplicate_definition	MP:0014031	IAO:0000115	any functional anomaly of the mucous-secreting glands located in the dense irregular connective tissue that lines organs and supports the mucosal membrane	
ERROR	duplicate_definition	MP:0014033	IAO:0000115	any functional anomaly of the mucous-secreting glands located in the dense irregular connective tissue that lines organs and supports the mucosal membrane	
ERROR	duplicate_definition	MP:0020643	IAO:0000115	any anomaly in the measurement of all areas of cells contained in the hippocampal fimbria divided by the total number of cells present in the hippocampal fimbria	
ERROR	duplicate_definition	MP:0020649	IAO:0000115	any anomaly in the measurement of all areas of cells contained in the hippocampal fimbria divided by the total number of cells present in the hippocampal fimbria	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/mp/mp-equivalent-axioms-subq#has_central_participant	rdfs:label	results_in_change_to	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/mp/mp-equivalent-axioms-subq#results_in_change_to	rdfs:label	results_in_change_to	
ERROR	duplicate_label	MP:0000355	rdfs:label	obsolete Increased Purkinje Cell Size	
ERROR	duplicate_label	MP:0000882	rdfs:label	obsolete Increased Purkinje Cell Size	
ERROR	duplicate_label	MP:0000357	rdfs:label	obsolete Decreased Purkinje Cell Size	
ERROR	duplicate_label	MP:0000883	rdfs:label	obsolete Decreased Purkinje Cell Size	
WARN	annotation_whitespace	0122de6a9f5666e582ea69244906b9a6	oboInOwl:hasDbXref	PMID:20144910 	
WARN	annotation_whitespace	1cf4685902b24eb0819d88b0455e1de9	oboInOwl:hasDbXref	PMID:20144910 	
WARN	annotation_whitespace	5106b326c04811ec2bcbbf8ce10fd650	oboInOwl:hasDbXref	PMID:23909279 	
WARN	annotation_whitespace	8280a3058627eb4092a39b683a567b0b	oboInOwl:hasDbXref	PMID:20144910 	
WARN	annotation_whitespace	aa1a5b2af2ac434324c8d74c6abf7e59	oboInOwl:hasDbXref	 CL:0000625	
WARN	annotation_whitespace	MP:0000181	oboInOwl:hasRelatedSynonym	abnormal circulating beta-lipoprotein level 	
WARN	annotation_whitespace	MP:0000182	oboInOwl:hasRelatedSynonym	increased circulating beta-lipoprotein level 	
WARN	annotation_whitespace	MP:0000183	oboInOwl:hasRelatedSynonym	decreased circulating beta-lipoprotein level 	
WARN	annotation_whitespace	MP:0000632	IAO:0000115	any structural anomaly of the unpaired epithalamic structure that is shaped like a tiny pine cone and located above the posterior commissure near the level of the habenular complex and the sylvian aqueduct; it is both a circumventricular organ and an endocrine organ that secretes melatonin, a serotonin-derived hormone involved in the regulation of circadian rhythms; the pineal parenchyma, consisting of pinealocytes, interstitial (glial-like) cells, phagocytes and capillaries, is arranged into large folliculi separated by septae of connective tissue and blood vessels 	
WARN	annotation_whitespace	MP:0000847	oboInOwl:hasExactSynonym	 abnormal rostral hindbrain morphology	
WARN	annotation_whitespace	MP:0001143	oboInOwl:hasExactSynonym	constricted vaginal introitus 	
WARN	annotation_whitespace	MP:0001314	oboInOwl:hasExactSynonym	 tunica cornea opacity	
WARN	annotation_whitespace	MP:0001316	oboInOwl:hasExactSynonym	 tunica cornea scarring	
WARN	annotation_whitespace	MP:0001688	oboInOwl:hasExactSynonym	 abnormal somite segmentation	
WARN	annotation_whitespace	MP:0002672	oboInOwl:hasRelatedSynonym	abnormal embryonic aortic arch arteries 	
WARN	annotation_whitespace	MP:0003045	rdfs:comment	This term is not specific and has been removed.  Additional classes for fibrosis in anatomical locations have been added 	
WARN	annotation_whitespace	MP:0003235	oboInOwl:hasExactSynonym	abnormal greater wing of the sphenoid bone 	
WARN	annotation_whitespace	MP:0003605	oboInOwl:hasExactSynonym	kidney fusion 	
WARN	annotation_whitespace	MP:0003614	oboInOwl:hasExactSynonym	cystocele 	
WARN	annotation_whitespace	MP:0003900	oboInOwl:hasExactSynonym	short QT 	
WARN	annotation_whitespace	MP:0004096	oboInOwl:hasExactSynonym	 abnormal isthmus organizer development	
WARN	annotation_whitespace	MP:0004105	oboInOwl:hasExactSynonym	 tunica cornea abrasion	
WARN	annotation_whitespace	MP:0004528	oboInOwl:hasExactSynonym	outer hair cell stereocilia fusion 	
WARN	annotation_whitespace	MP:0004661	oboInOwl:hasExactSynonym	absent clear cells of thyroid gland 	
WARN	annotation_whitespace	MP:0004661	oboInOwl:hasExactSynonym	absent parafollicular cells of thyroid gland 	
WARN	annotation_whitespace	MP:0005542	oboInOwl:hasExactSynonym	 tunica cornea vascularization	
WARN	annotation_whitespace	MP:0005544	oboInOwl:hasExactSynonym	 tunica cornea deposits	
WARN	annotation_whitespace	MP:0005647	oboInOwl:hasExactSynonym	 abnormal reproductive gland physiology	
WARN	annotation_whitespace	MP:0008422	oboInOwl:hasExactSynonym	lactotroph cell hypertrophy 	
WARN	annotation_whitespace	MP:0008422	oboInOwl:hasExactSynonym	lactotroph hypertrophy 	
WARN	annotation_whitespace	MP:0008426	oboInOwl:hasExactSynonym	corticotroph cell hypertrophy 	
WARN	annotation_whitespace	MP:0008426	oboInOwl:hasExactSynonym	corticotroph hypertrophy 	
WARN	annotation_whitespace	MP:0009075	oboInOwl:hasExactSynonym	rudimentary pronephric duct 	
WARN	annotation_whitespace	MP:0009696	oboInOwl:hasNarrowSynonym	abnormal posterior grey commissure 	
WARN	annotation_whitespace	MP:0009726	oboInOwl:hasExactSynonym	 abnormal meninx primitiva	
WARN	annotation_whitespace	MP:0009728	oboInOwl:hasNarrowSynonym	abnormal heel bone 	
WARN	annotation_whitespace	MP:0009825	oboInOwl:hasExactSynonym	 tunica cornea ulcer	
WARN	annotation_whitespace	MP:0009996	oboInOwl:hasExactSynonym	 abnormal pyramis of cerebellum morphology	
WARN	annotation_whitespace	MP:0010345	oboInOwl:hasExactSynonym	 increased C cell thyroid carcinoma incidence	
WARN	annotation_whitespace	MP:0010345	oboInOwl:hasExactSynonym	 increased C-cell thyroid carcinoma incidence	
WARN	annotation_whitespace	MP:0010392	oboInOwl:hasExactSynonym	prolonged QRS duration 	
WARN	annotation_whitespace	MP:0010393	oboInOwl:hasExactSynonym	shortened QRS duration 	
WARN	annotation_whitespace	MP:0010403	oboInOwl:hasExactSynonym	ASD 	
WARN	annotation_whitespace	MP:0010412	oboInOwl:hasExactSynonym	atrioventricular canal defect 	
WARN	annotation_whitespace	MP:0010413	oboInOwl:hasExactSynonym	complete atrioventricular canal defect 	
WARN	annotation_whitespace	MP:0010414	oboInOwl:hasExactSynonym	partial atrioventricular canal defect 	
WARN	annotation_whitespace	MP:0010415	oboInOwl:hasExactSynonym	intermediate atrioventricular canal defect 	
WARN	annotation_whitespace	MP:0010448	oboInOwl:hasNarrowSynonym	subaortic stenosis 	
WARN	annotation_whitespace	MP:0010461	oboInOwl:hasExactSynonym	 pulmonary artery discontinuity	
WARN	annotation_whitespace	MP:0010465	oboInOwl:hasRelatedSynonym	 aberrant origin right subclavian artery	
WARN	annotation_whitespace	MP:0010555	oboInOwl:hasExactSynonym	absent visceral serous pericardium 	
WARN	annotation_whitespace	MP:0010900	oboInOwl:hasExactSynonym	abnormal alveolar septum morphology 	
WARN	annotation_whitespace	MP:0011152	oboInOwl:hasExactSynonym	thick stratum moleculare 	
WARN	annotation_whitespace	MP:0011294	oboInOwl:hasExactSynonym	renal glomerular hypertrophy 	
WARN	annotation_whitespace	MP:0011376	oboInOwl:hasExactSynonym	abnormal kidney corticomedullary junction 	
WARN	annotation_whitespace	MP:0011376	oboInOwl:hasExactSynonym	abnormal renal cortico-medullary junction 	
WARN	annotation_whitespace	MP:0011387	oboInOwl:hasExactSynonym	absent metanephric blastema 	
WARN	annotation_whitespace	MP:0011409	oboInOwl:hasExactSynonym	thick renal glomerulus basement membrane 	
WARN	annotation_whitespace	MP:0011552	oboInOwl:hasExactSynonym	abnormal urine 21-hydroxyprogesterone level 	
WARN	annotation_whitespace	MP:0011683	oboInOwl:hasExactSynonym	congenital duplicated inferior vena cava 	
WARN	annotation_whitespace	MP:0011744	oboInOwl:hasExactSynonym	 abnormal renal epithelial cell primary cilium physiology	
WARN	annotation_whitespace	MP:0011755	oboInOwl:hasExactSynonym	 abnormal collecting duct type A intercalated cells	
WARN	annotation_whitespace	MP:0011758	oboInOwl:hasExactSynonym	 kidney ischemia	
WARN	annotation_whitespace	MP:0011760	oboInOwl:hasExactSynonym	 abnormal ureteric ampulla morphology	
WARN	annotation_whitespace	MP:0011774	oboInOwl:hasExactSynonym	 abnormal detrusor urinae morphology	
WARN	annotation_whitespace	MP:0011782	oboInOwl:hasExactSynonym	 abnormal ostium urethrae internum morphology	
WARN	annotation_whitespace	MP:0011783	oboInOwl:hasExactSynonym	 abnormal orificium ureteris morphology	
WARN	annotation_whitespace	MP:0011783	oboInOwl:hasExactSynonym	 abnormal ureteral opening morphology	
WARN	annotation_whitespace	MP:0011787	oboInOwl:hasExactSynonym	 abnormal vulvovaginal gland morphology	
WARN	annotation_whitespace	MP:0011848	oboInOwl:hasExactSynonym	 abnormal vestibule of vagina 	
WARN	annotation_whitespace	MP:0011850	oboInOwl:hasExactSynonym	absent os clitoris 	
WARN	annotation_whitespace	MP:0011865	oboInOwl:hasExactSynonym	abnormal podocyte migration 	
WARN	annotation_whitespace	MP:0011868	oboInOwl:hasExactSynonym	 podocyte pseudovilli	
WARN	annotation_whitespace	MP:0012131	oboInOwl:hasExactSynonym	small secondary yolk sac 	
WARN	annotation_whitespace	MP:0012139	oboInOwl:hasExactSynonym	enlarged prosencephalon 	
WARN	annotation_whitespace	MP:0012174	oboInOwl:hasExactSynonym	 head flattening	
WARN	annotation_whitespace	MP:0012178	oboInOwl:hasExactSynonym	absent frontonasal process 	
WARN	annotation_whitespace	MP:0012182	oboInOwl:hasExactSynonym	abnormal presomitic paraxial mesoderm morphology 	
WARN	annotation_whitespace	MP:0012204	oboInOwl:hasExactSynonym	abnormal neural stem cell physiology 	
WARN	annotation_whitespace	MP:0012357	oboInOwl:hasExactSynonym	abnormal activated partial thromboplastin time                                                                                                                 	
WARN	annotation_whitespace	MP:0012444	oboInOwl:hasExactSynonym	thin stratum moleculare 	
WARN	annotation_whitespace	MP:0012455	oboInOwl:hasExactSynonym	enlarged mammillothalamic axonal tract 	
WARN	annotation_whitespace	MP:0012495	oboInOwl:hasRelatedSynonym	embryonic aortic arch artery stenosis 	
WARN	annotation_whitespace	MP:0012512	oboInOwl:hasExactSynonym	 abnormal gladiolus morphology	
WARN	annotation_whitespace	MP:0012513	oboInOwl:hasExactSynonym	absent corpus sterni 	
WARN	annotation_whitespace	MP:0012513	oboInOwl:hasExactSynonym	absent mesosternum 	
WARN	annotation_whitespace	MP:0012517	oboInOwl:hasExactSynonym	 absent thalamencephalon	
WARN	annotation_whitespace	MP:0012517	oboInOwl:hasExactSynonym	absent interbrain 	
WARN	annotation_whitespace	MP:0012518	oboInOwl:hasExactSynonym	 abnormal duodenal gland morphology	
WARN	annotation_whitespace	MP:0012520	oboInOwl:hasExactSynonym	absent glands of Brunner 	
WARN	annotation_whitespace	MP:0012526	oboInOwl:hasExactSynonym	 abnormal presumptive cerebellum morphology	
WARN	annotation_whitespace	MP:0012662	IAO:0000115	increased amount in the blood of any of ceruloplasmin, a ferroxidase enzyme 	
WARN	annotation_whitespace	MP:0012700	oboInOwl:hasExactSynonym	abnormal endocardial tubes 	
WARN	annotation_whitespace	MP:0012761	oboInOwl:hasExactSynonym	increased cranial NCC apoptosis 	
WARN	annotation_whitespace	MP:0012802	IAO:0000115	increased size of the fifth transiently divided segment of the developing rhombencephalon; rhombomeres are lineage restricted, express different genes from one another, and adopt different developmental fates; rhombomeres are numbered in caudal to rostral order 	
WARN	annotation_whitespace	MP:0013000	oboInOwl:hasExactSynonym	absent aqueduct of midbrain 	
WARN	annotation_whitespace	MP:0013001	IAO:0000115	 any structural anomaly of the neural crest cells that arise predominantly from the vagal region of the neural tube (vagal neural crest), adjacent to somites 1-7 and migrate rostro-caudally along the gastrointestinal tract to form two ganglionated plexuses of neurons and glial cells that comprise the enteric nervous system (ENS); a smaller proportion of ENCCs come from the sacral neural crest, caudal to somite 28, and migrate caudo-rostrally to colonize the distal gut; neural crest cells are termed enteric neural crest-derived cells upon entering the foregut at E9-9.5 in mice (after 4 weeks gestation in humans)	
WARN	annotation_whitespace	MP:0013002	oboInOwl:hasExactSynonym	decreased enteric neural crest-derived cell number 	
WARN	annotation_whitespace	MP:0013004	oboInOwl:hasExactSynonym	abnormal enteric neural crest-derived cell proliferation 	
WARN	annotation_whitespace	MP:0013005	IAO:0000115	reduced ability of the enteric neural crest cells to undergo rapid expansion by cell division 	
WARN	annotation_whitespace	MP:0013005	oboInOwl:hasExactSynonym	decreased enteric neural crest-derived cell proliferation 	
