subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
MP:0000001	en	ja	rdfs:label	mammalian phenotype	OFFICIAL	哺乳類の表現型
MP:0000002	en	ja	rdfs:label	obsolete Morphology	OFFICIAL	OBSOLETE
MP:0000003	en	ja	rdfs:label	abnormal adipose tissue morphology	OFFICIAL	脂肪組織の形態異常
MP:0000005	en	ja	rdfs:label	increased brown adipose tissue amount	OFFICIAL	褐色脂肪組織量の増加
MP:0000008	en	ja	rdfs:label	increased white adipose tissue amount	OFFICIAL	白色脂肪組織量の増加
MP:0000010	en	ja	rdfs:label	abnormal abdominal fat pad morphology	OFFICIAL	腹部脂肪体形態異常
MP:0000012	en	ja	rdfs:label	obsolete loss of subcutaneous adipose tissue	OFFICIAL	OBSOLETE
MP:0000013	en	ja	rdfs:label	abnormal adipose tissue distribution	OFFICIAL	脂肪組織分布異常
MP:0000015	en	ja	rdfs:label	abnormal ear pigmentation	OFFICIAL	耳の色素沈着異常
MP:0000017	en	ja	rdfs:label	big ears	OFFICIAL	耳の巨大化
MP:0000018	en	ja	rdfs:label	small ears	OFFICIAL	耳の矮小化
MP:0000019	en	ja	rdfs:label	thick ears	OFFICIAL	厚い耳
MP:0000020	en	ja	rdfs:label	scaly ears	OFFICIAL	鱗状の耳
MP:0000021	en	ja	rdfs:label	prominent ears	OFFICIAL	突出した耳
MP:0000022	en	ja	rdfs:label	abnormal ear shape	OFFICIAL	耳の形態異常
MP:0000023	en	ja	rdfs:label	abnormal ear position	OFFICIAL	耳の配置異常
MP:0000024	en	ja	rdfs:label	lowered ear position	OFFICIAL	耳の低い配置
MP:0000025	en	ja	rdfs:label	otic hypertelorism	OFFICIAL	両耳隔離症
MP:0000026	en	ja	rdfs:label	abnormal inner ear morphology	OFFICIAL	内耳の形態異常
MP:0000027	en	ja	rdfs:label	obsolete horizontal canal defects	OFFICIAL	OBSOLETE
MP:0000028	en	ja	rdfs:label	abnormal pars superior vestibularis morphology	OFFICIAL	前庭上部の形態異常
MP:0000029	en	ja	rdfs:label	abnormal malleus morphology	OFFICIAL	槌骨の形態異常
MP:0000030	en	ja	rdfs:label	abnormal tympanic ring morphology	OFFICIAL	鼓室輪の形態異常
MP:0000031	en	ja	rdfs:label	abnormal cochlea morphology	OFFICIAL	蝸牛の形態異常
MP:0000032	en	ja	rdfs:label	cochlear degeneration	OFFICIAL	蝸牛の退行変性
MP:0000033	en	ja	rdfs:label	absent scala media	OFFICIAL	中心階の欠如
MP:0000034	en	ja	rdfs:label	abnormal inner ear vestibule morphology	OFFICIAL	前庭の形態異常
MP:0000035	en	ja	rdfs:label	abnormal membranous labyrinth morphology	OFFICIAL	膜迷路の異常
MP:0000036	en	ja	rdfs:label	absent semicircular canals	OFFICIAL	半規管の欠如
MP:0000037	en	ja	rdfs:label	abnormal lateral semicircular canal morphology	OFFICIAL	外側骨半規管の異常
MP:0000038	en	ja	rdfs:label	obsolete thin semicircular canals	OFFICIAL	OBSOLETE
MP:0000039	en	ja	rdfs:label	abnormal otic capsule morphology	OFFICIAL	耳嚢の形態異常
MP:0000040	en	ja	rdfs:label	absent middle ear ossicles	OFFICIAL	中耳骨片の欠如
MP:0000041	en	ja	rdfs:label	absent endolymphatic duct	OFFICIAL	内リンパ管の欠如
MP:0000042	en	ja	rdfs:label	abnormal organ of Corti morphology	OFFICIAL	コルチ器官の異常
MP:0000043	en	ja	rdfs:label	organ of Corti degeneration	OFFICIAL	コルチ器官の退行変性
MP:0000044	en	ja	rdfs:label	absent organ of Corti	OFFICIAL	コルチ器官の欠如
MP:0000045	en	ja	rdfs:label	abnormal hair cell morphology	OFFICIAL	有毛細胞の形態異常
MP:0000046	en	ja	rdfs:label	abnormal sulcus ampullaris morphology	OFFICIAL	膨大部溝の形態異常
MP:0000047	en	ja	rdfs:label	obsolete abnormal interdental cells	OFFICIAL	OBSOLETE
MP:0000048	en	ja	rdfs:label	abnormal stria vascularis morphology	OFFICIAL	血管条の異常
MP:0000049	en	ja	rdfs:label	abnormal middle ear morphology	OFFICIAL	中耳の形態異常
MP:0000051	en	ja	rdfs:label	obsolete absent process brevus	OFFICIAL	OBSOLETE
MP:0000052	en	ja	rdfs:label	early ear unfolding	OFFICIAL	耳の早期展開
MP:0000053	en	ja	rdfs:label	excessive ear growth	OFFICIAL	耳の過剰発達
MP:0000054	en	ja	rdfs:label	delayed ear emergence	OFFICIAL	耳の発生遅延
MP:0000060	en	ja	rdfs:label	delayed bone ossification	OFFICIAL	骨形成遅延
MP:0000061	en	ja	rdfs:label	fragile skeleton	OFFICIAL	脆弱な骨格
MP:0000062	en	ja	rdfs:label	increased bone mineral density	OFFICIAL	骨密度上昇
MP:0000063	en	ja	rdfs:label	decreased bone mineral density	OFFICIAL	骨密度低下
MP:0000064	en	ja	rdfs:label	failure of bone resorption	OFFICIAL	二次骨吸収不全
MP:0000065	en	ja	rdfs:label	abnormal bone marrow cavity morphology	OFFICIAL	骨髄腔形態異常
MP:0000066	en	ja	rdfs:label	osteoporosis	OFFICIAL	骨粗鬆症
MP:0000067	en	ja	rdfs:label	osteopetrosis	OFFICIAL	大理石骨病
MP:0000069	en	ja	rdfs:label	kyphoscoliosis	OFFICIAL	脊柱後側弯
MP:0000071	en	ja	rdfs:label	axial skeleton hypoplasia	OFFICIAL	中軸骨格の形成不全
MP:0000073	en	ja	rdfs:label	absent craniofacial bones	OFFICIAL	頭蓋顔面骨の欠如
MP:0000074	en	ja	rdfs:label	abnormal neurocranium morphology	OFFICIAL	神経頭蓋の形態異常
MP:0000075	en	ja	rdfs:label	absent neurocranium	OFFICIAL	神経頭蓋の欠如
MP:0000077	en	ja	rdfs:label	abnormal interparietal bone morphology	OFFICIAL	頭頂間骨の形態異常
MP:0000078	en	ja	rdfs:label	abnormal supraoccipital bone morphology	OFFICIAL	上後頭骨の形態異常
MP:0000079	en	ja	rdfs:label	abnormal basioccipital bone morphology	OFFICIAL	底後頭骨形態異常
MP:0000080	en	ja	rdfs:label	abnormal exoccipital bone morphology	OFFICIAL	外後頭骨の形態異常
MP:0000081	en	ja	rdfs:label	premature cranial suture closure	OFFICIAL	頭蓋骨縫合の早期癒合
MP:0000082	en	ja	rdfs:label	overlapping parietal bones	OFFICIAL	頭頂骨重複
MP:0000083	en	ja	rdfs:label	obsolete ectopic cranial bone growth	OFFICIAL	OBSOLETE
MP:0000084	en	ja	rdfs:label	abnormal fontanelle morphology	OFFICIAL	泉門の形態異常
MP:0000085	en	ja	rdfs:label	large anterior fontanelle	OFFICIAL	大泉門肥大
MP:0000087	en	ja	rdfs:label	absent mandible	OFFICIAL	下顎骨の欠如
MP:0000088	en	ja	rdfs:label	short mandible	OFFICIAL	下顎骨の短縮
MP:0000090	en	ja	rdfs:label	absent premaxilla	OFFICIAL	前上顎骨の欠如
MP:0000091	en	ja	rdfs:label	short premaxilla	OFFICIAL	前上顎骨の短縮
MP:0000094	en	ja	rdfs:label	absent alveolar process	OFFICIAL	歯槽突起の欠如
MP:0000097	en	ja	rdfs:label	short maxilla	OFFICIAL	上顎骨の短縮
MP:0000098	en	ja	rdfs:label	abnormal vomer bone morphology	OFFICIAL	鋤骨の形態異常
MP:0000099	en	ja	rdfs:label	absent vomer bone	OFFICIAL	鋤骨の欠如
MP:0000100	en	ja	rdfs:label	abnormal ethmoid bone morphology	OFFICIAL	篩骨の形態異常
MP:0000101	en	ja	rdfs:label	absent ethmoid bone	OFFICIAL	篩骨の欠如
MP:0000102	en	ja	rdfs:label	abnormal nasal bone morphology	OFFICIAL	鼻骨の形態異常
MP:0000103	en	ja	rdfs:label	nasal bone hypoplasia	OFFICIAL	鼻骨の形成不全
MP:0000104	en	ja	rdfs:label	abnormal sphenoid bone morphology	OFFICIAL	蝶形骨の形態異常
MP:0000105	en	ja	rdfs:label	impaired ossification of basisphenoid bone	OFFICIAL	底蝶形骨の骨化障害
MP:0000106	en	ja	rdfs:label	abnormal basisphenoid bone morphology	OFFICIAL	底蝶形骨形態異常
MP:0000107	en	ja	rdfs:label	abnormal frontal bone morphology	OFFICIAL	前頭骨の形態異常
MP:0000108	en	ja	rdfs:label	midline facial cleft	OFFICIAL	正中顔面裂
MP:0000109	en	ja	rdfs:label	abnormal parietal bone morphology	OFFICIAL	頭頂骨の形態異常
MP:0000111	en	ja	rdfs:label	cleft palate	OFFICIAL	口蓋裂
MP:0000114	en	ja	rdfs:label	cleft chin	OFFICIAL	頤中裂
MP:0000116	en	ja	rdfs:label	abnormal tooth development	OFFICIAL	歯の発生異常
MP:0000117	en	ja	rdfs:label	absent tooth placode	OFFICIAL	歯の原基欠如
MP:0000118	en	ja	rdfs:label	arrest of tooth development	OFFICIAL	歯の発生停止
MP:0000119	en	ja	rdfs:label	abnormal tooth eruption	OFFICIAL	歯の萌出異常
MP:0000120	en	ja	rdfs:label	malocclusion	OFFICIAL	不正咬合
MP:0000121	en	ja	rdfs:label	failure of tooth eruption	OFFICIAL	歯の萌出不全
MP:0000122	en	ja	rdfs:label	premature tooth eruption	OFFICIAL	歯の早期萌出
MP:0000124	en	ja	rdfs:label	obsolete absent teeth	OFFICIAL	OBSOLETE
MP:0000125	en	ja	rdfs:label	absent incisors	OFFICIAL	切歯の欠如
MP:0000126	en	ja	rdfs:label	brittle teeth	OFFICIAL	脆い歯
MP:0000127	en	ja	rdfs:label	degenerate molars	OFFICIAL	臼歯萎縮
MP:0000128	en	ja	rdfs:label	growth retardation of molars	OFFICIAL	臼歯の発生遅延
MP:0000129	en	ja	rdfs:label	ameloblast degeneration	OFFICIAL	エナメル芽細胞の退行変性
MP:0000130	en	ja	rdfs:label	abnormal trabecular bone morphology	OFFICIAL	海綿骨の形態異常
MP:0000131	en	ja	rdfs:label	abnormal long bone epiphysis morphology	OFFICIAL	長骨骨端の形態異常
MP:0000132	en	ja	rdfs:label	thickened long bone epiphysis	OFFICIAL	骨端肥大
MP:0000133	en	ja	rdfs:label	abnormal long bone metaphysis morphology	OFFICIAL	長骨骨幹端の形態異常
MP:0000134	en	ja	rdfs:label	abnormal compact bone thickness	OFFICIAL	皮質骨の厚さ異常
MP:0000135	en	ja	rdfs:label	decreased compact bone thickness	OFFICIAL	薄い皮質骨
MP:0000136	en	ja	rdfs:label	abnormal microglial cell morphology	OFFICIAL	ミクログリア細胞の形態異常
MP:0000137	en	ja	rdfs:label	abnormal vertebrae morphology	OFFICIAL	椎骨の形態異常
MP:0000138	en	ja	rdfs:label	absent vertebrae	OFFICIAL	椎骨の欠如
MP:0000139	en	ja	rdfs:label	absent vertebral transverse processes	OFFICIAL	椎骨横突起の欠如
MP:0000140	en	ja	rdfs:label	absent vertebral pedicles	OFFICIAL	椎弓根の欠如
MP:0000141	en	ja	rdfs:label	abnormal vertebral body morphology	OFFICIAL	椎体の形態異常
MP:0000142	en	ja	rdfs:label	obsolete An Extra Piece of Bone Rostral to C1	OFFICIAL	OBSOLETE
MP:0000143	en	ja	rdfs:label	obsolete Broadening/Splitting of the Neural Arch of C2	OFFICIAL	OBSOLETE
MP:0000148	en	ja	rdfs:label	obsolete abnormal shoulder/ pelvic girdle morphology	OFFICIAL	OBSOLETE
MP:0000149	en	ja	rdfs:label	abnormal scapula morphology	OFFICIAL	肩甲骨の形態異常
MP:0000150	en	ja	rdfs:label	abnormal rib morphology	OFFICIAL	肋骨の形態異常
MP:0000151	en	ja	rdfs:label	absent ribs	OFFICIAL	肋骨の欠如
MP:0000152	en	ja	rdfs:label	absent proximal rib	OFFICIAL	肋骨基部の欠如
MP:0000153	en	ja	rdfs:label	rib bifurcation	OFFICIAL	肋骨の分岐
MP:0000154	en	ja	rdfs:label	rib fusion	OFFICIAL	肋骨の癒合
MP:0000155	en	ja	rdfs:label	asymmetric rib joints	OFFICIAL	肋骨の非対称な付着
MP:0000156	en	ja	rdfs:label	obsolete Presence of 6 Vertebrosternal Ribs instead of 7	OFFICIAL	OBSOLETE
MP:0000157	en	ja	rdfs:label	abnormal sternum morphology	OFFICIAL	胸骨の形態異常
MP:0000158	en	ja	rdfs:label	absent sternum	OFFICIAL	胸骨の欠如
MP:0000159	en	ja	rdfs:label	abnormal xiphoid process morphology	OFFICIAL	剣状突起の異常
MP:0000160	en	ja	rdfs:label	kyphosis	OFFICIAL	脊柱後弯症
MP:0000161	en	ja	rdfs:label	scoliosis	OFFICIAL	脊柱側弯症
MP:0000162	en	ja	rdfs:label	lordosis	OFFICIAL	脊柱前弯症
MP:0000163	en	ja	rdfs:label	abnormal cartilage morphology	OFFICIAL	軟骨形態異常
