defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/MP_0003009	abnormal cytokine secretion	http://purl.obolibrary.org/obo/GO_0001816	cytokine production
http://purl.obolibrary.org/obo/MP_0008722	abnormal chemokine secretion	http://purl.obolibrary.org/obo/GO_0032602	chemokine production
http://purl.obolibrary.org/obo/MP_0008659	abnormal interleukin-10 secretion	http://purl.obolibrary.org/obo/GO_0032613	interleukin-10 production
http://purl.obolibrary.org/obo/MP_0008662	abnormal interleukin-12 secretion	http://purl.obolibrary.org/obo/GO_0032615	interleukin-12 production
http://purl.obolibrary.org/obo/MP_0008671	abnormal interleukin-13 secretion	http://purl.obolibrary.org/obo/GO_0032616	interleukin-13 production
http://purl.obolibrary.org/obo/MP_0008674	abnormal interleukin-15 secretion	http://purl.obolibrary.org/obo/GO_0032618	interleukin-15 production
http://purl.obolibrary.org/obo/MP_0008677	abnormal interleukin-16 secretion	http://purl.obolibrary.org/obo/GO_0032619	interleukin-16 production
http://purl.obolibrary.org/obo/MP_0008680	abnormal interleukin-17 secretion	http://purl.obolibrary.org/obo/GO_0032620	interleukin-17 production
http://purl.obolibrary.org/obo/MP_0008683	abnormal interleukin-18 secretion	http://purl.obolibrary.org/obo/GO_0032621	interleukin-18 production
http://purl.obolibrary.org/obo/MP_0008650	abnormal interleukin-1 secretion	http://purl.obolibrary.org/obo/GO_0032612	interleukin-1 production
http://purl.obolibrary.org/obo/MP_0008653	abnormal interleukin-1 alpha secretion	http://purl.obolibrary.org/obo/GO_0032610	interleukin-1 alpha production
http://purl.obolibrary.org/obo/MP_0008656	abnormal interleukin-1 beta secretion	http://purl.obolibrary.org/obo/GO_0032611	interleukin-1 beta production
http://purl.obolibrary.org/obo/MP_0009056	abnormal interleukin-21 secretion	http://purl.obolibrary.org/obo/GO_0032625	interleukin-21 production
http://purl.obolibrary.org/obo/MP_0008689	abnormal interleukin-23 secretion	http://purl.obolibrary.org/obo/GO_0032627	interleukin-23 production
http://purl.obolibrary.org/obo/MP_0008686	abnormal interleukin-2 secretion	http://purl.obolibrary.org/obo/GO_0032623	interleukin-2 production
http://purl.obolibrary.org/obo/MP_0008695	abnormal interleukin-3 secretion	http://purl.obolibrary.org/obo/GO_0032632	interleukin-3 production
http://purl.obolibrary.org/obo/MP_0008698	abnormal interleukin-4 secretion	http://purl.obolibrary.org/obo/GO_0032633	interleukin-4 production
http://purl.obolibrary.org/obo/MP_0008701	abnormal interleukin-5 secretion	http://purl.obolibrary.org/obo/GO_0032634	interleukin-5 production
http://purl.obolibrary.org/obo/MP_0008704	abnormal interleukin-6 secretion	http://purl.obolibrary.org/obo/GO_0032635	interleukin-6 production
http://purl.obolibrary.org/obo/MP_0008707	abnormal interleukin-7 secretion	http://purl.obolibrary.org/obo/GO_0032636	interleukin-7 production
http://purl.obolibrary.org/obo/MP_0011716	abnormal interleukin-8 secretion	http://purl.obolibrary.org/obo/GO_0032637	interleukin-8 production
http://purl.obolibrary.org/obo/MP_0008710	abnormal interleukin-9 secretion	http://purl.obolibrary.org/obo/GO_0032638	interleukin-9 production
http://purl.obolibrary.org/obo/MP_0031221	abnormal CXCL10 secretion	http://purl.obolibrary.org/obo/GO_0071612	IP-10 production
http://purl.obolibrary.org/obo/MP_0008556	abnormal tumor necrosis factor secretion	http://purl.obolibrary.org/obo/GO_0032640	tumor necrosis factor production
http://purl.obolibrary.org/obo/MP_0008559	abnormal interferon-gamma secretion	http://purl.obolibrary.org/obo/GO_0032609	type II interferon production
http://purl.obolibrary.org/obo/MP_0014922	abnormal glutathione reductase activity	http://purl.obolibrary.org/obo/GO_0004362	glutathione-disulfide reductase (NADPH) activity
