defined_class	defined_class_label	location	location_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/MP_0008864	abnormal intestinal secretion	http://purl.obolibrary.org/obo/UBERON_0000160	intestine	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0014813	abnormal brain glucose metabolism	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/GO_0006006	glucose metabolic process
http://purl.obolibrary.org/obo/MP_0002782	abnormal testes secretion	http://purl.obolibrary.org/obo/UBERON_0000473	testis	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0002694	abnormal pancreas secretion	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0014195	abnormal endocrine pancreas secretion	http://purl.obolibrary.org/obo/UBERON_0000016	endocrine pancreas	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0002783	abnormal ovary secretion	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0001739	abnormal adrenal gland secretion	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0000501	abnormal digestive secretion	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0001752	abnormal hypothalamus secretion	http://purl.obolibrary.org/obo/UBERON_0001898	hypothalamus	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
http://purl.obolibrary.org/obo/MP_0001746	abnormal pituitary secretion	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland	http://purl.obolibrary.org/obo/GO_0032941	secretion by tissue
