source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	thick lower lip	MP:0014312	rdfs:label	ja		NOT_TRANSLATED
en	thin lower lip	MP:0014313	rdfs:label	ja		NOT_TRANSLATED
en	irregular cerebellar foliation pattern	MP:0014314	rdfs:label	ja		NOT_TRANSLATED
en	decreased heart left ventricle anterior wall thickness	MP:0014315	rdfs:label	ja		NOT_TRANSLATED
en	decreased heart left ventricle posterior wall thickness	MP:0014316	rdfs:label	ja		NOT_TRANSLATED
en	decreased heart left ventricle septal wall thickness	MP:0014317	rdfs:label	ja		NOT_TRANSLATED
en	abnormal oligodendrocyte differentiation	MP:0014318	rdfs:label	ja		NOT_TRANSLATED
en	abnormal heart atrium arrangement	MP:0014319	rdfs:label	ja		NOT_TRANSLATED
en	abnormal autopod rotation	MP:0014320	rdfs:label	ja		NOT_TRANSLATED
en	short forelimb	MP:0014321	rdfs:label	ja		NOT_TRANSLATED
en	short hindlimb	MP:0014322	rdfs:label	ja		NOT_TRANSLATED
en	long hindlimb	MP:0014323	rdfs:label	ja		NOT_TRANSLATED
en	long forelimb	MP:0014324	rdfs:label	ja		NOT_TRANSLATED
en	abnormal oligodendrocyte progenitor morphology	MP:0014325	rdfs:label	ja		NOT_TRANSLATED
en	abnormal Purkinje cell size	MP:0014326	rdfs:label	ja		NOT_TRANSLATED
en	decreased Purkinje cell size	MP:0014327	rdfs:label	ja		NOT_TRANSLATED
en	increased Purkinje cell size	MP:0014328	rdfs:label	ja		NOT_TRANSLATED
en	abnormal Purkinje cell axon morphology	MP:0014329	rdfs:label	ja		NOT_TRANSLATED
en	abnormal Purkinje cell focal axonal swelling	MP:0014330	rdfs:label	ja		NOT_TRANSLATED
en	abnormal Purkinje cell mitochondrial morphology	MP:0014331	rdfs:label	ja		NOT_TRANSLATED
en	long retina cone cell outer segment	MP:0014332	rdfs:label	ja		NOT_TRANSLATED
en	short retina cone cell outer segment	MP:0014333	rdfs:label	ja		NOT_TRANSLATED
en	short retina cone cell inner segment	MP:0014334	rdfs:label	ja		NOT_TRANSLATED
en	long retina cone cell inner segment	MP:0014335	rdfs:label	ja		NOT_TRANSLATED
en	short retina rod cell outer segment	MP:0014336	rdfs:label	ja		NOT_TRANSLATED
en	long retina rod cell outer segment	MP:0014337	rdfs:label	ja		NOT_TRANSLATED
en	abnormal spleen B cell follicle size	MP:0014338	rdfs:label	ja		NOT_TRANSLATED
en	long retina rod cell inner segment	MP:0014339	rdfs:label	ja		NOT_TRANSLATED
en	short retina rod cell inner segment	MP:0014340	rdfs:label	ja		NOT_TRANSLATED
en	abnormal hepatocyte mitochondrial morphology	MP:0014341	rdfs:label	ja		NOT_TRANSLATED
en	abnormal muscle fiber mitochondrial morphology	MP:0014342	rdfs:label	ja		NOT_TRANSLATED
en	abnormal myocardial fiber mitochondrial morphology	MP:0014343	rdfs:label	ja		NOT_TRANSLATED
en	abnormal skeletal muscle fiber mitochondrial morphology	MP:0014344	rdfs:label	ja		NOT_TRANSLATED
en	abnormal neuron mitochondrial morphology	MP:0014345	rdfs:label	ja		NOT_TRANSLATED
en	abnormal motor neuron mitochondrial morphology	MP:0014346	rdfs:label	ja		NOT_TRANSLATED
en	increased spleen B cell follicle size	MP:0014347	rdfs:label	ja		NOT_TRANSLATED
en	decreased spleen B cell follicle size	MP:0014348	rdfs:label	ja		NOT_TRANSLATED
en	absent spleen B cell follicles	MP:0014349	rdfs:label	ja		NOT_TRANSLATED
en	disorganized spleen B cell follicle	MP:0014350	rdfs:label	ja		NOT_TRANSLATED
